,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
687,Daniil Medvedev,Alexander Zverev,-0.016197268348798796,0.003429608445601043,-0.032236566048919,0.08571462801006349,-0.038068842712925634,-0.052102826750714086,-0.18279569892473116,-0.2185227707615768,0.07333333333333332,0.6248531257096352,0.3751468742903648,0,0
690,Sam Querrey,Radu Albot,0.13315078970203667,0.00816448695281334,0.13923495926211624,-0.17362345654184932,0.013120407857249938,0.07862860754160522,0.381578947368421,0.3235591506572295,0.0,0.29508525087881343,0.7049147491211866,1,1
696,Filip Krajinovic,Liam Broady,0.0426385308291948,0.0071829666325787045,0.08904022132368594,-0.10714285714285716,-0.1198501872659176,0.10353535353535354,0.04761904761904767,-0.3333333333333333,0.0,0.578365216954581,0.42163478304541896,0,1
709,Marin Cilic,Pierre Hugues Herbert,0.03043721388254145,-0.011031703810949298,0.05798074371013062,-0.056395791880106676,0.19085345048195854,0.13037605743939715,0.2296650717703349,0.3630952380952381,0.02666666666666667,0.3090401645116335,0.6909598354883665,1,1
714,Nicolas Kicker,Francis Tiafoe,-0.06082877459241703,-0.0006331167368126973,-0.04722967134646938,0.05227148330596604,0.03722426470588236,0.0533683707596751,-0.3157894736842105,0.2828282828282829,0.0,0.5257120839226856,0.4742879160773143,0,0
716,Nikoloz Basilashvili,Thomas Fabbiano,0.0149044335909074,-0.004282747050534386,0.013120372114920896,-0.21110874654181744,-0.019339102154596662,0.07655959844821564,0.2853598014888337,0.2275747508305648,0.03333333333333333,0.3745989728729553,0.6254010271270447,1,1
720,Ricardas Berankis,Radu Albot,0.005983757139219323,0.004475881261595546,-0.010950143469377172,0.032765957446808484,0.009890109890109909,0.03936822253653932,0.25,0.09565217391304348,0.03333333333333333,0.4543293349541361,0.5456706650458639,1,0
723,Mirza Basic,Yuki Bhambri,0.033198495493577465,0.0018238592009083843,0.02646299483648884,0.0163265306122449,-0.0055984555984556214,0.03989968080255357,0.06666666666666665,0.0,0.0,0.4983462961724556,0.5016537038275444,1,0
724,Robin Haase,Yuichi Sugita,0.05377091005127541,0.009228576696348929,0.058153567016597026,-0.07581638461936553,-0.07309941520467839,-0.058220211161387585,-0.06521739130434777,-0.05646258503401357,0.07500000000000001,0.5136750298258532,0.4863249701741468,0,1
725,Peter Gojowczyk,John Millman,0.04853023601552165,0.034926688074458014,0.12262281947631015,-0.3878218469405959,-0.1704705882352941,0.030158730158730107,0.09999999999999998,0.1805555555555556,0.1,0.38941482123094373,0.6105851787690563,1,0
730,Jeremy Chardy,Rogerio Dutra Silva,0.05488042215709352,0.011389737963019292,0.05737567944140709,-0.13617258057612466,-0.04576624925462136,0.042382745635056514,0.12121212121212123,-0.01704545454545453,0.014285714285714284,0.4626159839364077,0.5373840160635923,1,1
743,John Isner,Steve Johnson,0.1255346010622344,-0.01756442852989899,0.03474444113472697,-0.11854999085989044,-0.11202046035805624,-0.04763078529172954,-0.1636363636363637,0.14393939393939392,0.04736842105263158,0.4917069567924415,0.5082930432075585,1,0
744,Jack Sock,Taylor Harry Fritz,-0.0190504088422965,0.014728875988201988,-0.00585192350969288,-0.016027874564459917,-0.02828541437312781,-0.01910515786266015,0.5,0.05306122448979589,0.009090909090909092,0.421677102643516,0.578322897356484,1,0
